_date,total_views,unique_views
2021-07-02,3,1
2021-07-03,8,1
2021-08-02,17,1
2021-08-13,8,1
2021-08-15,2,1
2021-08-17,1,1
2021-08-19,1,1
2021-08-22,1,1
2021-08-27,1,1
2021-09-07,1,1
2021-09-18,1,1
2021-09-27,2,1
2021-10-16,6,1
2021-11-02,1,1
2021-11-05,1,1
2021-11-06,1,1
2021-11-11,15,1
2021-11-12,1,1
2021-11-26,2,1
2021-12-10,1,1
2021-12-20,2,1
2021-12-29,9,1
2022-01-12,1,1
2022-02-23,1,1
2022-03-05,1,1
2022-03-07,1,1
2022-03-08,1,1
2022-03-22,1,1
2022-03-27,3,1
2022-03-30,1,1
2022-04-05,1,1
2022-04-11,1,1
2022-04-13,2,1
2022-04-14,1,1
2022-04-21,1,1
2022-05-10,1,1
2022-05-13,3,1
2022-05-15,4,2
2022-05-17,2,1
2022-05-18,4,1
2022-05-19,2,1
2022-05-21,1,1
2022-06-08,1,1
2022-06-15,1,1
2022-07-13,2,2
2022-07-26,1,1
2022-07-28,12,3
2022-07-30,6,2
2022-08-04,2,1
2022-08-05,6,2
2022-08-08,6,2
2022-08-27,1,1
2022-09-03,1,1
2022-09-06,1,1
2022-09-27,1,1
2022-10-07,5,1
2022-11-07,2,1
2022-11-09,1,1
2022-11-22,1,1
2022-11-26,2,1
2022-12-21,1,1
2023-01-24,1,1
2023-02-23,1,1
2023-03-15,1,1
2023-03-28,1,1
2023-04-11,1,1
2023-05-14,1,1
2023-05-26,1,1
2023-05-28,1,1
2023-05-29,2,1
2023-06-05,1,1
2023-06-26,6,2
2023-06-29,10,3
2023-07-01,29,5
2023-07-02,41,7
2023-07-03,39,5
2023-07-04,42,5
2023-07-05,47,7
2023-07-06,68,9
2023-07-07,63,10
2023-07-08,61,10
2023-07-09,60,10
2023-07-10,55,9
2023-07-11,36,9
2023-07-12,32,7
2023-07-13,19,3
2023-07-14,19,4
2023-07-15,15,3
2023-07-16,7,2
2023-07-17,9,1
2023-07-18,19,4
2023-07-19,30,5
2023-07-22,4,2
2023-07-24,4,2
2023-07-25,4,2
2023-07-26,3,1
2023-07-27,3,1
2023-07-28,3,1
2023-07-29,8,3
2023-07-30,3,1
2023-07-31,10,2
2023-08-01,19,3
2023-08-02,13,3
2023-08-03,20,4
2023-08-05,13,3
2023-08-06,19,5
